,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood_moving,mood_cumulative,mood_exponential,circumplex.arousal_moving,circumplex.arousal_cumulative,circumplex.arousal_exponential,circumplex.valence_moving,circumplex.valence_cumulative,circumplex.valence_exponential,activity_moving,activity_cumulative,activity_exponential,screen_moving,screen_cumulative,screen_exponential,call_moving,call_cumulative,call_exponential,sms_moving,sms_cumulative,sms_exponential,appCat.builtin_moving,appCat.builtin_cumulative,appCat.builtin_exponential,appCat.communication_moving,appCat.communication_cumulative,appCat.communication_exponential,appCat.entertainment_moving,appCat.entertainment_cumulative,appCat.entertainment_exponential,appCat.finance_moving,appCat.finance_cumulative,appCat.finance_exponential,appCat.game_moving,appCat.game_cumulative,appCat.game_exponential,appCat.office_moving,appCat.office_cumulative,appCat.office_exponential,appCat.other_moving,appCat.other_cumulative,appCat.other_exponential,appCat.social_moving,appCat.social_cumulative,appCat.social_exponential,appCat.travel_moving,appCat.travel_cumulative,appCat.travel_exponential,appCat.unknown_moving,appCat.unknown_cumulative,appCat.unknown_exponential,appCat.utilities_moving,appCat.utilities_cumulative,appCat.utilities_exponential,appCat.weather_moving,appCat.weather_cumulative,appCat.weather_exponential
0,6.25,-0.25,0.75,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,6.25,6.25,-0.25,-0.25,-0.25,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.291666666666666,6.291666666666666,6.333333333333333,-0.125,-0.125,0.0,0.5416666666666666,0.5416666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.2,0.2,0.2,0.13405010398938863,17978.907000064843,6.0,0.0,3139.218,6280.889999999999,1007.4560000000001,49.544,0.0,172.20600000000002,239.751,4508.500000000001,915.4450000000002,0.0,598.754,0.0,6.26111111111111,6.26111111111111,6.244444444444444,-0.016666666666666663,-0.016666666666666663,0.13333333333333333,0.42777777777777776,0.42777777777777776,0.24444444444444446,0.04468336799646288,0.04468336799646288,0.08936673599292574,5992.969000021614,5992.969000021614,11985.938000043228,2.3333333333333335,2.3333333333333335,4.0,0.6666666666666666,0.6666666666666666,0.0,1046.406,1046.406,2092.812,2093.6299999999997,2093.6299999999997,4187.259999999999,335.81866666666673,335.81866666666673,671.6373333333333,16.514666666666667,16.514666666666667,33.02933333333333,0.0,0.0,0.0,57.40200000000001,57.40200000000001,114.804,79.917,79.917,159.834,1502.8333333333337,1502.8333333333337,3005.666666666667,305.14833333333337,305.14833333333337,610.2966666666667,0.0,0.0,0.0,199.58466666666666,199.58466666666666,399.1693333333333,0.0,0.0,0.0
3,6.4,0.6,0.0,0.23688021923995814,6142.160999536513,3.0,1.0,731.4290000000002,4962.918,93.324,21.076,0.0,0.0,98.14300000000001,439.6319999999999,37.305,0.0,117.62100000000001,0.0,6.2958333333333325,6.2958333333333325,6.322222222222222,0.1375,0.1375,0.36666666666666664,0.3208333333333333,0.3208333333333333,0.12222222222222223,0.09273258080733669,0.09273258080733669,0.16312347761644194,6030.266999900339,6030.266999900339,9064.049499789871,2.5,2.5,3.5,0.75,0.75,0.5,967.66175,967.66175,1412.1205,2810.9519999999998,2810.9519999999998,4575.089,275.19500000000005,275.19500000000005,382.48066666666665,17.655,17.655,27.052666666666664,0.0,0.0,0.0,43.051500000000004,43.051500000000004,57.402,84.4735,84.4735,128.98850000000002,1237.0330000000001,1237.0330000000001,1722.6493333333335,238.18750000000003,238.18750000000003,323.80083333333334,0.0,0.0,0.0,179.09375,179.09375,258.3951666666667,0.0,0.0,0.0
4,6.8,0.2,0.8,0.14274111580506368,6773.832001447676,0.0,0.0,1286.2459999999999,5237.319,94.346,43.403000000000006,0.0,0.0,72.82300000000001,900.8389999999999,0.0,0.0,30.086,30.386,6.3966666666666665,6.3966666666666665,6.513333333333334,0.15,0.15,0.3,0.41666666666666663,0.41666666666666663,0.3933333333333334,0.1027342878068821,0.1027342878068821,0.15497053289189064,6178.980000209807,6178.980000209807,8147.9625004529935,2.0,2.0,2.1,0.6,0.6,0.3,1031.3786,1031.3786,1361.7707,3296.2254000000003,3296.2254000000003,4839.981,239.02520000000004,239.02520000000004,267.22679999999997,22.8046,22.8046,33.5928,0.0,0.0,0.0,34.4412,34.4412,34.4412,82.1434,82.1434,106.5223,1169.7942,1169.7942,1393.9252000000001,190.55,190.55,194.2805,0.0,0.0,0.0,149.2922,149.2922,167.07150000000001,6.0771999999999995,6.0771999999999995,12.1544
5,6.0,0.8,0.0,0.07896105611559796,15047.351000547405,10.0,0.0,866.9559999999999,9270.629,976.971,34.106,0.0,3.01,66.55799999999999,3223.6259999999997,419.805,0.0,178.732,0.0,6.346666666666667,6.330555555555556,6.342222222222223,0.36,0.25833333333333336,0.4666666666666667,0.2666666666666666,0.34722222222222215,0.2622222222222223,0.11852649903000169,0.09877208252500141,0.12963404063312642,9188.450200319288,7657.041833599406,10447.75866715113,3.8,3.3333333333333335,4.733333333333333,0.19999999999999996,0.5,0.2,1204.7698,1003.9748333333333,1196.8324666666667,5150.351200000001,4291.959333333333,6316.863666666666,434.41940000000005,362.0161666666667,503.80819999999994,29.6258,24.688166666666664,33.763866666666665,0.0,0.0,0.0,35.0432,29.20266666666667,23.964133333333336,95.455,79.54583333333333,93.20086666666667,1814.5194000000001,1512.0995,2003.8254666666667,274.511,228.7591666666667,269.45533333333333,0.0,0.0,0.0,185.0386,154.19883333333334,170.95833333333337,6.0771999999999995,5.064333333333333,8.102933333333334
6,6.75,0.5,0.5,0.0983741123905068,21475.35499906539,0.0,1.0,1032.768,10276.751,68.206,43.053999999999995,0.0,0.0,178.819,1919.471,0.0,235.223,222.893,0.0,6.43,6.390476190476191,6.47814814814815,0.45999999999999996,0.29285714285714287,0.47777777777777786,0.29999999999999993,0.369047619047619,0.34148148148148155,0.13820132150810305,0.09871522964864503,0.11921406455225322,13483.521200132367,9631.086571523118,14123.62411112255,3.8,2.857142857142857,3.155555555555556,0.39999999999999997,0.5714285714285714,0.4666666666666667,1411.3234,1008.0881428571429,1142.1443111111112,7205.701400000001,5146.929571428571,7636.8261111111115,448.0606000000001,320.0432857142858,358.6074666666667,38.2366,27.311857142857143,36.86057777777778,0.0,0.0,0.0,35.0432,25.030857142857144,15.976088888888892,131.2188,93.72771428571427,121.74024444444444,2198.4136000000003,1570.2954285714284,1975.7073111111113,274.511,196.07928571428573,179.6368888888889,47.0446,33.60328571428572,78.40766666666667,229.6172,164.01228571428572,188.26988888888891,6.0771999999999995,4.340857142857142,5.401955555555557
7,6.6,-0.2,0.6,0.10130832167007592,16423.80100035667,0.0,0.0,1167.497,8988.752999999999,910.479,52.331,0.0,0.0,97.49799999999999,4592.059,0.0,0.0,33.365,0.0,6.51,6.416666666666667,6.518765432098768,0.37999999999999995,0.23125000000000004,0.25185185185185194,0.3799999999999999,0.39791666666666664,0.4276543209876544,0.1316529650442405,0.09903936615132389,0.11324548359152746,13172.500000190732,10480.175875127312,14890.349740867257,2.5999999999999996,2.5,2.103703703703704,0.39999999999999997,0.5,0.31111111111111117,1016.9792,1028.01425,1150.5952074074075,7747.274,5627.157499999999,8087.4684074074075,428.6652000000001,393.84775,542.5646444444445,38.794000000000004,30.43925,42.01738518518519,0.0,0.0,0.0,0.6019999999999968,21.902,10.65072592592593,102.76819999999998,94.19899999999998,113.6594962962963,2215.1254000000004,1948.015875,2847.824540740741,91.422,171.569375,119.75792592592595,47.0446,29.402875,52.271777777777785,116.5394,147.681375,136.63492592592596,6.0771999999999995,3.798249999999999,3.6013037037037052
8,7.0,0.2,0.8,0.15951064096909748,17442.14999938011,2.0,1.0,1229.327,6936.512,639.3389999999999,42.218999999999994,0.0,182.45100000000002,58.532000000000004,935.381,47.314,0.0,179.02899999999997,0.0,6.63,6.481481481481482,6.679176954732512,0.29999999999999993,0.2277777777777778,0.234567901234568,0.5399999999999999,0.4425925925925926,0.551769547325103,0.11617904939006837,0.10575839668663206,0.12866720271738413,15432.497800159452,11253.728555599846,15740.94982703821,2.3999999999999995,2.4444444444444446,2.069135802469136,0.39999999999999997,0.5555555555555556,0.5407407407407407,1116.5588,1050.3823333333332,1176.839138271605,8141.9928,5772.641333333333,7703.816271604939,537.8682000000001,421.12455555555556,574.822762962963,43.022600000000004,31.74811111111111,42.08459012345679,0.0,0.0,0.0,37.0922,39.74077777777778,67.9174839506173,94.84599999999998,90.23599999999999,95.28366419753087,2314.2752000000005,1835.500888888889,2210.3433604938277,93.4238,157.76322222222223,95.60995061728397,47.0446,26.13588888888889,34.847851851851864,128.821,151.16444444444446,150.7662839506173,6.0771999999999995,3.3762222222222213,2.4008691358024703
9,6.4,-0.6,0.6,0.09569802163712014,4923.488999605181,5.0,0.0,10062.595,866.8330000000001,1005.403,89.16600000000001,233.036,0.0,225.951,512.741,1133.0089999999998,0.0,301.717,0.0,6.55,6.473333333333334,6.586117969821675,0.13999999999999993,0.14500000000000002,-0.04362139917695462,0.4999999999999999,0.4583333333333333,0.567846364883402,0.10677043055647967,0.10475235918168087,0.11767747569062947,15062.429199790953,10620.70460000038,12135.1295512272,3.3999999999999995,2.7,3.046090534979424,0.39999999999999997,0.5,0.3604938271604939,2871.8286,1951.6036,4138.757758847736,7267.8956,5282.0605,5424.821847736626,720.0796000000001,479.55240000000003,718.3495086419753,52.175200000000004,37.4899,57.778393415637865,46.6072,23.3036,77.67866666666666,37.0922,35.7667,45.27832263374487,125.47159999999997,103.80749999999998,138.8394427983539,2236.6556000000005,1703.2249000000004,1644.4759069958852,320.02559999999994,255.28779999999998,441.4096337448559,47.0446,23.5223,23.23190123456791,183.1472,166.21970000000002,201.0831893004115,0.0,3.0385999999999993,1.6005794238683138
